12:03:34.233 INFO  [main] [o.s.b.t.c.SpringBootTestContextBootstrapper](AbstractTestContextBootstrapper.java:308) Neither @ContextConfiguration nor @ContextHierarchy found for test class [tron.deployment.DeploymentApplicationTests], using SpringBootContextLoader
12:03:34.247 INFO  [main] [o.s.t.c.s.AbstractContextLoader](AbstractContextLoader.java:264) Could not detect default resource locations for test class [tron.deployment.DeploymentApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
12:03:34.249 INFO  [main] [o.s.t.c.s.AnnotationConfigContextLoaderUtils](AnnotationConfigContextLoaderUtils.java:83) Could not detect default configuration classes for test class [tron.deployment.DeploymentApplicationTests]: DeploymentApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
12:03:34.416 INFO  [main] [o.s.b.t.c.SpringBootTestContextBootstrapper](SpringBootTestContextBootstrapper.java:235) Found @SpringBootConfiguration tron.deployment.DeploymentApplication for test class tron.deployment.DeploymentApplicationTests
12:03:34.579 INFO  [main] [o.s.b.t.c.SpringBootTestContextBootstrapper](AbstractTestContextBootstrapper.java:248) Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
12:03:34.602 INFO  [main] [o.s.b.t.c.SpringBootTestContextBootstrapper](AbstractTestContextBootstrapper.java:177) Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@19c65cdc, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@74bf1791, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@54504ecd, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@38b27cdc, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1339e7aa, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1fb669c3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@49c66ade, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6239aba6, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3e6104fc, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@12359a82, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@68df9280, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@479460a6]
12:03:35.066 INFO  [main] [t.d.DeploymentApplicationTests](StartupInfoLogger.java:50) Starting DeploymentApplicationTests on liuximingdeMacBook-Pro.local with PID 45964 (started by liuximing in /Users/liuximing/Documents/liuximing/company/tron/code/wubin-one-click-deployment)
12:03:35.068 INFO  [main] [t.d.DeploymentApplicationTests](SpringApplication.java:646) No active profile set, falling back to default profiles: default
12:03:37.586 INFO  [main] [o.s.s.c.ThreadPoolTaskExecutor](ExecutorConfigurationSupport.java:171) Initializing ExecutorService 'applicationTaskExecutor'
12:03:37.855 WARN  [main] [o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration](ThymeleafAutoConfiguration.java:105) Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
12:03:37.932 INFO  [main] [o.s.b.a.w.s.WelcomePageHandlerMapping](WelcomePageHandlerMapping.java:54) Adding welcome page: class path resource [static/index.html]
12:03:38.199 INFO  [main] [t.d.DeploymentApplicationTests](StartupInfoLogger.java:59) Started DeploymentApplicationTests in 3.536 seconds (JVM running for 4.98)
15:45:10.957 INFO  [main] [o.s.b.t.c.SpringBootTestContextBootstrapper](AbstractTestContextBootstrapper.java:308) Neither @ContextConfiguration nor @ContextHierarchy found for test class [tron.deployment.DeploymentApplicationTests], using SpringBootContextLoader
15:45:10.968 INFO  [main] [o.s.t.c.s.AbstractContextLoader](AbstractContextLoader.java:264) Could not detect default resource locations for test class [tron.deployment.DeploymentApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
15:45:10.979 INFO  [main] [o.s.t.c.s.AnnotationConfigContextLoaderUtils](AnnotationConfigContextLoaderUtils.java:83) Could not detect default configuration classes for test class [tron.deployment.DeploymentApplicationTests]: DeploymentApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
15:45:11.106 INFO  [main] [o.s.b.t.c.SpringBootTestContextBootstrapper](SpringBootTestContextBootstrapper.java:235) Found @SpringBootConfiguration tron.deployment.DeploymentApplication for test class tron.deployment.DeploymentApplicationTests
15:45:11.239 INFO  [main] [o.s.b.t.c.SpringBootTestContextBootstrapper](AbstractTestContextBootstrapper.java:248) Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
15:45:11.262 INFO  [main] [o.s.b.t.c.SpringBootTestContextBootstrapper](AbstractTestContextBootstrapper.java:177) Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1339e7aa, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1fb669c3, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@49c66ade, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6239aba6, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3e6104fc, org.springframework.test.context.transaction.TransactionalTestExecutionListener@12359a82, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@68df9280, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@479460a6, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7164ca4c, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4f3bbf68, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5be46f9d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3f91b517]
15:45:11.575 INFO  [main] [t.d.DeploymentApplicationTests](StartupInfoLogger.java:50) Starting DeploymentApplicationTests on liuximingdeMacBook-Pro.local with PID 52920 (started by liuximing in /Users/liuximing/Documents/liuximing/company/tron/code/wubin-one-click-deployment)
15:45:11.576 INFO  [main] [t.d.DeploymentApplicationTests](SpringApplication.java:646) No active profile set, falling back to default profiles: default
15:45:13.478 INFO  [main] [o.s.s.c.ThreadPoolTaskExecutor](ExecutorConfigurationSupport.java:171) Initializing ExecutorService 'applicationTaskExecutor'
15:45:13.702 WARN  [main] [o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration](ThymeleafAutoConfiguration.java:105) Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
15:45:13.788 INFO  [main] [o.s.b.a.w.s.WelcomePageHandlerMapping](WelcomePageHandlerMapping.java:54) Adding welcome page: class path resource [static/index.html]
15:45:14.016 INFO  [main] [t.d.DeploymentApplicationTests](StartupInfoLogger.java:59) Started DeploymentApplicationTests in 2.706 seconds (JVM running for 3.99)
15:48:38.246 INFO  [main] [o.s.b.t.c.SpringBootTestContextBootstrapper](AbstractTestContextBootstrapper.java:308) Neither @ContextConfiguration nor @ContextHierarchy found for test class [tron.deployment.DeploymentApplicationTests], using SpringBootContextLoader
15:48:38.256 INFO  [main] [o.s.t.c.s.AbstractContextLoader](AbstractContextLoader.java:264) Could not detect default resource locations for test class [tron.deployment.DeploymentApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
15:48:38.257 INFO  [main] [o.s.t.c.s.AnnotationConfigContextLoaderUtils](AnnotationConfigContextLoaderUtils.java:83) Could not detect default configuration classes for test class [tron.deployment.DeploymentApplicationTests]: DeploymentApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
15:48:38.359 INFO  [main] [o.s.b.t.c.SpringBootTestContextBootstrapper](SpringBootTestContextBootstrapper.java:235) Found @SpringBootConfiguration tron.deployment.DeploymentApplication for test class tron.deployment.DeploymentApplicationTests
15:48:38.465 INFO  [main] [o.s.b.t.c.SpringBootTestContextBootstrapper](AbstractTestContextBootstrapper.java:248) Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
